MRTime,Longitude,Latitude,RNCID_1,CellID_1,SignalLevel_1,RSSI_1,RNCID_2,CellID_2,SignalLevel_2,RSSI_2,RNCID_3,CellID_3,SignalLevel_3,RSSI_3,RNCID_4,CellID_4,SignalLevel_4,RSSI_4,RNCID_5,CellID_5,SignalLevel_5,RSSI_5,RNCID_6,CellID_6,SignalLevel_6,RSSI_6,RNCID_7,CellID_7,SignalLevel_7,RSSI_7,LinkNum,id_c5ombine,Longitude_eng,Latitude_eng,lo,la
1510000000000.0,121.2152218,31.2895233,6188,26051,4,-57,6182,41139,4,-79,6188.0,26049.0,4.0,-81.0,6188.0,27377.0,4.0,-73.0,6188.0,26050.0,4.0,-81.0,0.0,-1.0,4.0,-67.0,6188.0,27378.0,4.0,-79.0,7,32239,121.211928,31.288649,0.0032937999999944623,0.0008742999999995504
1510000000000.0,121.2153363,31.28954616,6188,26051,4,-59,6182,41139,4,-77,6188.0,26049.0,4.0,-85.0,6188.0,27377.0,4.0,-71.0,6188.0,26050.0,4.0,-83.0,0.0,-1.0,4.0,-67.0,6188.0,27378.0,4.0,-77.0,7,32239,121.211928,31.288649,0.0034083000000038055,0.0008971600000009516
1510000000000.0,121.2153363,31.28954616,6188,26051,4,-67,6182,41139,4,-77,6188.0,27377.0,4.0,-71.0,6188.0,26050.0,4.0,-83.0,0.0,-1.0,4.0,-65.0,6188.0,27378.0,4.0,-77.0,0.0,-1.0,4.0,-87.0,7,32239,121.211928,31.288649,0.0034083000000038055,0.0008971600000009516
1510000000000.0,121.2158051,31.28950141,6188,20865,3,-95,6182,13698,3,-93,6188.0,27394.0,3.0,-95.0,6188.0,26051.0,3.0,-95.0,6188.0,27361.0,4.0,-83.0,6182.0,41139.0,4.0,-85.0,6188.0,27378.0,3.0,-93.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,3,-93,6182,13698,3,-95,6188.0,27394.0,3.0,-95.0,6188.0,26051.0,3.0,-97.0,6188.0,27361.0,4.0,-85.0,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,3.0,-91.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,3,-91,6182,13698,3,-95,6188.0,27394.0,3.0,-95.0,6188.0,26051.0,3.0,-97.0,6188.0,27361.0,4.0,-85.0,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,3.0,-91.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-87,6182,13698,3,-95,6188.0,27394.0,3.0,-95.0,6188.0,27361.0,4.0,-85.0,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-89.0,-999.0,-999.0,-999.0,-999.0,6,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-87,6182,13698,3,-95,6188.0,27394.0,3.0,-97.0,6188.0,27361.0,4.0,-85.0,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-89.0,6182.0,41594.0,3.0,-95.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-87,6182,13698,3,-93,6188.0,27361.0,4.0,-87.0,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-89.0,6182.0,41594.0,3.0,-93.0,0.0,-1.0,3.0,-97.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-85,6182,13698,3,-93,6188.0,27361.0,4.0,-87.0,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-89.0,6182.0,41594.0,3.0,-93.0,-999.0,-999.0,-999.0,-999.0,6,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
